benchmark,source,calls,seed,expected,samples,warmups,smm_pre_median_seconds,smm_pre_min_seconds,smm_pre_max_seconds,smm_pre_median_allocated_bytes,smm_pre_rss_before_bytes,smm_pre_peak_rss_bytes,smm_pre_peak_growth_bytes,smm_median_seconds,smm_min_seconds,smm_max_seconds,smm_median_allocated_bytes,smm_rss_before_bytes,smm_peak_rss_bytes,smm_peak_growth_bytes,speedup_smm_pre_over_smm,allocated_ratio_smm_pre_over_smm,peak_rss_ratio_smm_pre_over_smm,peak_growth_ratio_smm_pre_over_smm,ocaml_version,timestamp_utc
arithmetic_linear,_build/bench/generated/arithmetic_linear.s--,4096,20260710,4194307,7,1,0.000437975,0.000430107,0.000448942,3244192,8220672,8224768,4096,0.011404991,0.010596991,0.013955116,70124880,9998336,11100160,1101824,0.038402,0.046263,0.740959,0.003717,5.4.1,2026-07-14T03:48:03Z
arithmetic_random,_build/bench/generated/arithmetic_random.s--,4096,20260710,4194307,7,1,0.000335217,0.000331879,0.000346899,3244192,8282112,8286208,4096,0.010554075,0.010489941,0.010761976,70124880,9981952,11083776,1101824,0.031762,0.046263,0.747598,0.003717,5.4.1,2026-07-14T03:48:03Z
arithmetic_constant,_build/bench/generated/arithmetic_constant.s--,4096,20260710,212992,7,1,0.000334024,0.000332832,0.000334978,3244192,8318976,8323072,4096,0.008397102,0.008388042,0.008433104,54989760,9986048,11026432,1040384,0.039779,0.058996,0.754829,0.003937,5.4.1,2026-07-14T03:48:03Z
arithmetic_repeated_eight,_build/bench/generated/arithmetic_repeated_eight.s--,4096,20260710,524312,7,1,0.000331879,0.000324965,0.000334024,3244192,8261632,8265728,4096,0.008692026,0.008648157,0.008723021,56751688,9977856,11018240,1040384,0.038182,0.057165,0.750186,0.003937,5.4.1,2026-07-14T03:48:03Z
arithmetic_alternating_extremes,_build/bench/generated/arithmetic_alternating_extremes.s--,4096,20260710,4194307,7,1,0.000336170,0.000330925,0.000348091,3244192,8200192,8204288,4096,0.010791063,0.010772943,0.010805845,70124880,9961472,11063296,1101824,0.031153,0.046263,0.741577,0.003717,5.4.1,2026-07-14T03:48:03Z
arithmetic_bucket_shuffle,_build/bench/generated/arithmetic_bucket_shuffle.s--,4096,20260710,4194307,7,1,0.000331163,0.000328064,0.000341892,3244192,8273920,8278016,4096,0.010437012,0.010402918,0.010494947,70124880,9863168,10964992,1101824,0.031730,0.046263,0.754950,0.003717,5.4.1,2026-07-14T03:48:03Z
branch_linear,_build/bench/generated/branch_linear.s--,4096,20260710,837229,7,1,0.000404119,0.000402927,0.000406981,3670176,8265728,8269824,4096,0.012931824,0.012921095,0.012941837,82373496,9965568,11063296,1097728,0.031250,0.044555,0.747501,0.003731,5.4.1,2026-07-14T03:48:03Z
branch_random,_build/bench/generated/branch_random.s--,4096,20260710,837229,7,1,0.000409842,0.000406981,0.000416040,3670176,8261632,8265728,4096,0.012603045,0.012588024,0.012796164,82479864,10006528,11104256,1097728,0.032519,0.044498,0.744375,0.003731,5.4.1,2026-07-14T03:48:03Z
captured_linear,_build/bench/generated/captured_linear.s--,4096,20260710,4194307,7,1,0.028920889,0.028784037,0.029470205,3113664,8306688,8310784,4096,0.012480974,0.012417793,0.012546062,76422496,9990144,11362304,1372160,2.317198,0.040743,0.731435,0.002985,5.4.1,2026-07-14T03:48:03Z
captured_random,_build/bench/generated/captured_random.s--,4096,20260710,4194307,7,1,0.028965950,0.028810024,0.029572010,3113664,8306688,8310784,4096,0.012437105,0.012300968,0.012477875,76422496,9961472,11333632,1372160,2.328995,0.040743,0.733285,0.002985,5.4.1,2026-07-14T03:48:03Z
multiarg_stable,_build/bench/generated/multiarg_stable.s--,4096,20260710,4194307,7,1,0.000639915,0.000638008,0.000645161,4849824,9089024,9093120,4096,0.017779112,0.017771006,0.017825842,100730496,11165696,13299712,2134016,0.035993,0.048147,0.683708,0.001919,5.4.1,2026-07-14T03:48:03Z
multiarg_alternating,_build/bench/generated/multiarg_alternating.s--,4096,20260710,5031939,7,1,0.000632048,0.000630856,0.000637054,4849824,9179136,9183232,4096,0.018088102,0.018032074,0.018118143,101287416,11194368,13389824,2195456,0.034943,0.047882,0.685837,0.001866,5.4.1,2026-07-14T03:48:03Z
nested_linear,_build/bench/generated/nested_linear.s--,4096,20260710,4194307,7,1,0.000450850,0.000444889,0.000453949,4129032,8278016,8282112,4096,0.012305975,0.012247086,0.012382984,78744736,9805824,11210752,1404928,0.036637,0.052436,0.738765,0.002915,5.4.1,2026-07-14T03:48:03Z
nested_random,_build/bench/generated/nested_random.s--,4096,20260710,4194307,7,1,0.000450134,0.000446081,0.000463009,4129032,8294400,8298496,4096,0.012270927,0.012255907,0.012420893,78744736,9994240,11399168,1404928,0.036683,0.052436,0.727991,0.002915,5.4.1,2026-07-14T03:48:03Z
heavy_linear,_build/bench/generated/heavy_linear.s--,4096,20260710,4206593,7,1,0.000689983,0.000689030,0.000714064,5931168,8290304,8392704,102400,0.014040947,0.014011145,0.014081001,89485688,9969664,11399168,1429504,0.049141,0.066281,0.736256,0.071633,5.4.1,2026-07-14T03:48:03Z
heavy_random,_build/bench/generated/heavy_random.s--,4096,20260710,4206593,7,1,0.000686884,0.000684977,0.000693083,5931168,8179712,8282112,102400,0.015335798,0.015230894,0.015352011,97677080,9945088,11509760,1564672,0.044790,0.060722,0.719573,0.065445,5.4.1,2026-07-14T03:48:03Z
